time,cpu,mem
2026-01-09 09:15:00,1819.0,312912
2026-01-09 09:20:00,1833.0,310171
2026-01-09 09:25:00,1885.0,326785
2026-01-09 09:30:00,1855.0,331483
2026-01-09 09:35:00,1804.0,329919
2026-01-09 09:40:00,1776.0,328015
2026-01-09 09:45:00,1840.0,330431
2026-01-09 09:50:00,1859.0,330882
2026-01-09 09:55:00,1826.0,327233
2026-01-09 10:00:00,1802.0,340609
2026-01-09 10:05:00,1824.0,329747
2026-01-09 10:10:00,1787.0,328092
2026-01-09 10:15:00,1749.0,333365
2026-01-09 10:20:00,1788.0,330129
2026-01-09 10:25:00,1807.0,327943
2026-01-09 10:30:00,1901.0,335694
2026-01-09 10:35:00,1888.0,332357
2026-01-09 10:40:00,1789.0,328369
2026-01-09 10:45:00,1830.0,329565
2026-01-09 10:50:00,1847.0,330904
2026-01-09 10:55:00,1854.0,332274
2026-01-09 11:00:00,1815.0,336634
2026-01-09 11:05:00,1832.0,334709
2026-01-09 11:10:00,1839.0,333513
2026-01-09 11:15:00,1863.0,336815
2026-01-09 11:20:00,1821.0,334226
2026-01-09 11:25:00,1874.0,329911
2026-01-09 11:30:00,1778.0,339945
2026-01-09 11:35:00,12190.0,336722
2026-01-09 11:40:00,1855.0,337963
2026-01-09 11:45:00,1972.0,328422
2026-01-09 11:50:00,1839.0,309586
2026-01-09 11:55:00,1877.0,306273
2026-01-09 12:00:00,1890.0,319255
2026-01-09 12:05:00,1908.0,311762
2026-01-09 12:10:00,1839.0,320584
2026-01-09 12:15:00,1825.0,311894
2026-01-09 12:20:00,1796.0,305469
2026-01-09 12:25:00,1854.0,311101
2026-01-09 12:30:00,1862.0,317472
2026-01-09 12:35:00,1819.0,316582
2026-01-09 12:40:00,1789.0,316287
2026-01-09 12:45:00,1846.0,319874
2026-01-09 12:50:00,1902.0,315566
2026-01-09 12:55:00,1931.0,314357
2026-01-09 13:00:00,5199.0,316914
2026-01-09 13:05:00,1867.0,317952
2026-01-09 13:10:00,6447.0,319506
2026-01-09 13:15:00,1879.0,323497
2026-01-09 13:20:00,1803.0,313681
2026-01-09 13:25:00,11492.0,307839
2026-01-09 13:30:00,1773.0,337152
2026-01-09 13:35:00,1798.0,323409
2026-01-09 13:40:00,1857.0,319616
2026-01-09 13:45:00,1952.0,319670
2026-01-09 13:50:00,1875.0,318924
2026-01-09 13:55:00,1832.0,318098
2026-01-09 14:00:00,1816.0,320991
2026-01-09 14:05:00,23643.0,318726
2026-01-09 14:10:00,14000.0,322444
2026-01-09 14:15:00,1909.0,325650
2026-01-09 14:20:00,1872.0,284131
2026-01-09 14:25:00,1876.0,323381
2026-01-09 14:30:00,1863.0,339598
2026-01-09 14:35:00,1838.0,333063
2026-01-09 14:40:00,1888.0,333088
2026-01-09 14:45:00,1809.0,337344
2026-01-09 14:50:00,12397.0,334954
2026-01-09 14:55:00,5119.0,329996
2026-01-09 15:00:00,9904.0,358492
2026-01-09 15:05:00,13349.0,321456
2026-01-09 15:10:00,9388.0,293753
2026-01-09 15:15:00,1903.0,301861
2026-01-09 15:20:00,1920.0,284511
2026-01-09 15:25:00,1783.0,320144
2026-01-09 15:30:00,1875.0,343238
2026-01-09 15:35:00,1871.0,324638
2026-01-09 15:40:00,1863.0,324916
2026-01-09 15:45:00,1901.0,347410
2026-01-09 15:50:00,1828.0,323238
2026-01-09 15:55:00,1943.0,326625
2026-01-09 16:00:00,2679.0,349360
2026-01-09 16:05:00,2637.0,326510
2026-01-09 16:10:00,2611.0,327056
2026-01-09 16:15:00,3414.0,347395
2026-01-09 16:20:00,2310.0,304132
2026-01-09 16:25:00,1909.0,311714
2026-01-09 16:30:00,12492.0,364619
2026-01-09 16:35:00,2150.0,429546
2026-01-09 16:40:00,1830.0,343602
2026-01-09 16:45:00,1838.0,296664
2026-01-09 16:50:00,22875.0,345869
2026-01-09 16:55:00,2110.0,165407
2026-01-09 17:00:00,1819.0,142072
2026-01-09 17:05:00,21152.0,258525
2026-01-09 17:10:00,2064.0,369522
2026-01-09 17:15:00,1810.0,155153
2026-01-09 17:20:00,2063.0,385004
2026-01-09 17:25:00,7160.0,230592
2026-01-09 17:30:00,1975.0,144747
2026-01-09 17:35:00,1857.0,139295
2026-01-09 17:40:00,57148.0,342489
2026-01-09 17:45:00,14475.0,189199
2026-01-09 17:50:00,7139.0,146438
2026-01-09 17:55:00,2254.0,315715
2026-01-09 18:00:00,14815.0,381623
2026-01-09 18:05:00,1879.0,297244
2026-01-09 18:10:00,13923.0,373374
2026-01-09 18:15:00,5642.0,245677
2026-01-09 18:20:00,2217.0,360878
2026-01-09 18:25:00,23673.0,223307
2026-01-09 18:30:00,15273.0,370953
2026-01-09 18:35:00,11884.0,180943
2026-01-09 18:40:00,56705.0,264591
2026-01-09 18:45:00,49296.0,386039
2026-01-09 18:50:00,51590.0,299824
2026-01-09 18:55:00,51791.0,390599
2026-01-09 19:00:00,51007.0,400352
2026-01-09 19:05:00,50269.0,393976
2026-01-09 19:10:00,30330.0,401636
2026-01-09 19:15:00,37386.0,397553
2026-01-09 19:20:00,34303.0,391408
2026-01-09 19:25:00,18234.0,433326
2026-01-09 19:30:00,13694.0,395918
2026-01-09 19:35:00,9609.0,361923
2026-01-09 19:40:00,5666.0,327399
2026-01-09 19:45:00,3098.0,317304
